"GCAM_commodity","Basin_long_name","GLU_name","region","share"
"beef","Africa_East_Central_Coast","AfrCstE","Africa_Eastern",0.0563854528335304
"dairy","Africa_East_Central_Coast","AfrCstE","Africa_Eastern",0.0563854528335304
"pork","Africa_East_Central_Coast","AfrCstE","Africa_Eastern",0.0194248148210106
"poultry","Africa_East_Central_Coast","AfrCstE","Africa_Eastern",0.0777408097175484
"sheepgoat","Africa_East_Central_Coast","AfrCstE","Africa_Eastern",0.0469596999101984
"beef","Africa_North_Interior","AfrIntN","Africa_Eastern",0.000267869894560697
"dairy","Africa_North_Interior","AfrIntN","Africa_Eastern",0.000267869894560697
"pork","Africa_North_Interior","AfrIntN","Africa_Eastern",0.000941781037592314
"poultry","Africa_North_Interior","AfrIntN","Africa_Eastern",0.00143884677885653
"sheepgoat","Africa_North_Interior","AfrIntN","Africa_Eastern",0.00382503519857501
"beef","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Eastern",0.0206806021610586
"dairy","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Eastern",0.0206806021610586
"pork","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Eastern",0.0220772961463638
"poultry","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Eastern",0.0746851589328011
"sheepgoat","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Eastern",0.0977118693511358
"beef","Congo","CongoR","Africa_Eastern",0.0054604176448795
"dairy","Congo","CongoR","Africa_Eastern",0.0054604176448795
"pork","Congo","CongoR","Africa_Eastern",0.00487003651395646
"poultry","Congo","CongoR","Africa_Eastern",0.00525534681481523
"sheepgoat","Congo","CongoR","Africa_Eastern",0.00443095385768264
"beef","Lake_Chad","LChad","Africa_Eastern",0.0473412473151828
"dairy","Lake_Chad","LChad","Africa_Eastern",0.0473412473151828
"pork","Lake_Chad","LChad","Africa_Eastern",0.00425158500315539
"poultry","Lake_Chad","LChad","Africa_Eastern",0.0158546853905281
"sheepgoat","Lake_Chad","LChad","Africa_Eastern",0.0405208697708083
"beef","Madagascar","Madagascar","Africa_Eastern",0.0752277167372817
"dairy","Madagascar","Madagascar","Africa_Eastern",0.0752277167372818
"pork","Madagascar","Madagascar","Africa_Eastern",0.395373363503466
"poultry","Madagascar","Madagascar","Africa_Eastern",0.195447768100945
"sheepgoat","Madagascar","Madagascar","Africa_Eastern",0.0116702077970568
"beef","Nile","NileR","Africa_Eastern",0.540786062424882
"dairy","Nile","NileR","Africa_Eastern",0.540786062424882
"pork","Nile","NileR","Africa_Eastern",0.530591143462153
"poultry","Nile","NileR","Africa_Eastern",0.501346346896512
"sheepgoat","Nile","NileR","Africa_Eastern",0.573383032386396
"beef","Rift_Valley","RiftValley","Africa_Eastern",0.146798853192741
"dairy","Rift_Valley","RiftValley","Africa_Eastern",0.146798853192741
"pork","Rift_Valley","RiftValley","Africa_Eastern",0.0111215440399894
"poultry","Rift_Valley","RiftValley","Africa_Eastern",0.0788687085373593
"sheepgoat","Rift_Valley","RiftValley","Africa_Eastern",0.119851374667354
"beef","Shebelli_Juba","ShebJubR","Africa_Eastern",0.107051777795883
"dairy","Shebelli_Juba","ShebJubR","Africa_Eastern",0.107051777795883
"pork","Shebelli_Juba","ShebJubR","Africa_Eastern",0.0113484354723129
"poultry","Shebelli_Juba","ShebJubR","Africa_Eastern",0.0493623288306347
"sheepgoat","Shebelli_Juba","ShebJubR","Africa_Eastern",0.101646957060794
"beef","Africa_North_Interior","AfrIntN","Africa_Northern",0.0460168952401601
"dairy","Africa_North_Interior","AfrIntN","Africa_Northern",0.0460168952401601
"pork","Africa_North_Interior","AfrIntN","Africa_Northern",0.00787225489734967
"poultry","Africa_North_Interior","AfrIntN","Africa_Northern",0.126283528569344
"sheepgoat","Africa_North_Interior","AfrIntN","Africa_Northern",0.208973078498402
"beef","Africa_North_West_Coast","AfrCstNW","Africa_Northern",0.245758943302083
"dairy","Africa_North_West_Coast","AfrCstNW","Africa_Northern",0.245758943302083
"pork","Africa_North_West_Coast","AfrCstNW","Africa_Northern",0.219758973130741
"poultry","Africa_North_West_Coast","AfrCstNW","Africa_Northern",0.239392954582852
"sheepgoat","Africa_North_West_Coast","AfrCstNW","Africa_Northern",0.262993643546028
"beef","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Northern",0.00158004526239648
"dairy","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Northern",0.00158004526239648
"pork","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Northern",8.20744593414647e-05
"poultry","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Northern",0.00291527420703507
"sheepgoat","Africa_Red_Sea_Gulf_of_Aden_Coast","AfrCstNE","Africa_Northern",0.00237418834058639
"beef","Mediterranean_Sea_East_Coast","MeditE","Africa_Northern",0.00850952559449623
"dairy","Mediterranean_Sea_East_Coast","MeditE","Africa_Northern",0.00850952559449623
"pork","Mediterranean_Sea_East_Coast","MeditE","Africa_Northern",0.000505315281630441
"poultry","Mediterranean_Sea_East_Coast","MeditE","Africa_Northern",0.0217658655084967
"sheepgoat","Mediterranean_Sea_East_Coast","MeditE","Africa_Northern",0.0206738572573944
"beef","Mediterranean_South_Coast","MeditS","Africa_Northern",0.21927622433402
"dairy","Mediterranean_South_Coast","MeditS","Africa_Northern",0.21927622433402
"pork","Mediterranean_South_Coast","MeditS","Africa_Northern",0.696357484325047
"poultry","Mediterranean_South_Coast","MeditS","Africa_Northern",0.382273150168109
"sheepgoat","Mediterranean_South_Coast","MeditS","Africa_Northern",0.340099068781678
"beef","Niger","NigerR","Africa_Northern",0.000391626992733017
"dairy","Niger","NigerR","Africa_Northern",0.000391626992733017
"pork","Niger","NigerR","Africa_Northern",9.75544125649725e-06
"poultry","Niger","NigerR","Africa_Northern",0.000148954548573573
"sheepgoat","Niger","NigerR","Africa_Northern",0.000103031908022599
"beef","Nile","NileR","Africa_Northern",0.47518266801714
"dairy","Nile","NileR","Africa_Northern",0.47518266801714
"pork","Nile","NileR","Africa_Northern",0.0226856327565334
"poultry","Nile","NileR","Africa_Northern",0.225066941385354
"sheepgoat","Nile","NileR","Africa_Northern",0.160229115972839
"beef","Sinai_Peninsula","SinaiP","Africa_Northern",0.00328407125697113
"dairy","Sinai_Peninsula","SinaiP","Africa_Northern",0.00328407125697113
"pork","Sinai_Peninsula","SinaiP","Africa_Northern",0.0527285097080999
"poultry","Sinai_Peninsula","SinaiP","Africa_Northern",0.00215333103023606
"sheepgoat","Sinai_Peninsula","SinaiP","Africa_Northern",0.00455401569504893
"beef","Africa_East_Central_Coast","AfrCstE","Africa_Southern",0.108975746152235
"dairy","Africa_East_Central_Coast","AfrCstE","Africa_Southern",0.108975746152235
"pork","Africa_East_Central_Coast","AfrCstE","Africa_Southern",0.0912654508033328
"poultry","Africa_East_Central_Coast","AfrCstE","Africa_Southern",0.197789481156645
"sheepgoat","Africa_East_Central_Coast","AfrCstE","Africa_Southern",0.163684686286514
"beef","Africa_Indian_Ocean_Coast","AfrCstSE","Africa_Southern",0.0126338144098783
"dairy","Africa_Indian_Ocean_Coast","AfrCstSE","Africa_Southern",0.0126338144098783
"pork","Africa_Indian_Ocean_Coast","AfrCstSE","Africa_Southern",0.00700299493361963
"poultry","Africa_Indian_Ocean_Coast","AfrCstSE","Africa_Southern",0.0353077951612639
"sheepgoat","Africa_Indian_Ocean_Coast","AfrCstSE","Africa_Southern",0.00527750631382428
"beef","Africa_South_Interior","AfrIntS","Africa_Southern",0.153178761587407
"dairy","Africa_South_Interior","AfrIntS","Africa_Southern",0.153178761587407
"pork","Africa_South_Interior","AfrIntS","Africa_Southern",0.0585196777480478
"poultry","Africa_South_Interior","AfrIntS","Africa_Southern",0.0318854920118392
"sheepgoat","Africa_South_Interior","AfrIntS","Africa_Southern",0.110556861497031
"beef","Angola_Coast","AngolaCst","Africa_Southern",0.0879560197382098
"dairy","Angola_Coast","AngolaCst","Africa_Southern",0.0879560197382098
"pork","Angola_Coast","AngolaCst","Africa_Southern",0.111005500677768
"poultry","Angola_Coast","AngolaCst","Africa_Southern",0.0227866425685778
"sheepgoat","Angola_Coast","AngolaCst","Africa_Southern",0.0598329717292777
"beef","Congo","CongoR","Africa_Southern",0.0676654431624644
"dairy","Congo","CongoR","Africa_Southern",0.0676654431624644
"pork","Congo","CongoR","Africa_Southern",0.14671010363745
"poultry","Congo","CongoR","Africa_Southern",0.0857301934088739
"sheepgoat","Congo","CongoR","Africa_Southern",0.0990280564026657
"beef","Gulf_of_Guinea","GuineaGulf","Africa_Southern",3.20250515628824e-05
"dairy","Gulf_of_Guinea","GuineaGulf","Africa_Southern",3.20250515628824e-05
"pork","Gulf_of_Guinea","GuineaGulf","Africa_Southern",0.000161820697699012
"poultry","Gulf_of_Guinea","GuineaGulf","Africa_Southern",0.000136302765841388
"sheepgoat","Gulf_of_Guinea","GuineaGulf","Africa_Southern",9.37936735829534e-05
"beef","Limpopo","LimpopoR","Africa_Southern",0.0982325426098636
"dairy","Limpopo","LimpopoR","Africa_Southern",0.0982325426098636
"pork","Limpopo","LimpopoR","Africa_Southern",0.0858808839340672
"poultry","Limpopo","LimpopoR","Africa_Southern",0.0665251605753022
"sheepgoat","Limpopo","LimpopoR","Africa_Southern",0.0374968281187315
"beef","Namibia_Coast","AfrCstSW","Africa_Southern",0.0088333180359914
"dairy","Namibia_Coast","AfrCstSW","Africa_Southern",0.0088333180359914
"pork","Namibia_Coast","AfrCstSW","Africa_Southern",0.000518135510499623
"poultry","Namibia_Coast","AfrCstSW","Africa_Southern",0.0021470853053708
"sheepgoat","Namibia_Coast","AfrCstSW","Africa_Southern",0.0225088648531316
"beef","Nile","NileR","Africa_Southern",0.0713356889483351
"dairy","Nile","NileR","Africa_Southern",0.0713356889483351
"pork","Nile","NileR","Africa_Southern",0.170148491750009
"poultry","Nile","NileR","Africa_Southern",0.0870583791869768
"sheepgoat","Nile","NileR","Africa_Southern",0.136409986429792
"beef","Orange","OrangeR","Africa_Southern",0.0493987482880468
"dairy","Orange","OrangeR","Africa_Southern",0.0493987482880468
"pork","Orange","OrangeR","Africa_Southern",0.0202486438294881
"poultry","Orange","OrangeR","Africa_Southern",0.0233508827500845
"sheepgoat","Orange","OrangeR","Africa_Southern",0.0566943524545327
"beef","Rift_Valley","RiftValley","Africa_Southern",0.066503111626129
"dairy","Rift_Valley","RiftValley","Africa_Southern",0.066503111626129
"pork","Rift_Valley","RiftValley","Africa_Southern",0.0122481677697735
"poultry","Rift_Valley","RiftValley","Africa_Southern",0.0470343758616509
"sheepgoat","Rift_Valley","RiftValley","Africa_Southern",0.0979224524201287
"beef","South_Africa_South_Coast","AfrCstS","Africa_Southern",0.0275315639937145
"dairy","South_Africa_South_Coast","AfrCstS","Africa_Southern",0.0275315639937145
"pork","South_Africa_South_Coast","AfrCstS","Africa_Southern",0.0110364779437268
"poultry","South_Africa_South_Coast","AfrCstS","Africa_Southern",0.00784430164304419
"sheepgoat","South_Africa_South_Coast","AfrCstS","Africa_Southern",0.0205165373364237
"beef","Zambezi","ZambeziR","Africa_Southern",0.247723216396163
"dairy","Zambezi","ZambeziR","Africa_Southern",0.247723216396163
"pork","Zambezi","ZambeziR","Africa_Southern",0.285253650764519
"poultry","Zambezi","ZambeziR","Africa_Southern",0.392403907604529
"sheepgoat","Zambezi","ZambeziR","Africa_Southern",0.189977102484364
"beef","Africa_North_Interior","AfrIntN","Africa_Western",0.000980084256558633
"dairy","Africa_North_Interior","AfrIntN","Africa_Western",0.000980084256558633
"pork","Africa_North_Interior","AfrIntN","Africa_Western",0.0061123905954812
"poultry","Africa_North_Interior","AfrIntN","Africa_Western",0.0052950198167525
"sheepgoat","Africa_North_Interior","AfrIntN","Africa_Western",0.0148340135465175
"beef","Africa_North_West_Coast","AfrCstNW","Africa_Western",0.000793510152822429
"dairy","Africa_North_West_Coast","AfrCstNW","Africa_Western",0.000793510152822429
"pork","Africa_North_West_Coast","AfrCstNW","Africa_Western",0.0258675695510556
"poultry","Africa_North_West_Coast","AfrCstNW","Africa_Western",0.0015217009215482
"sheepgoat","Africa_North_West_Coast","AfrCstNW","Africa_Western",0.00283015772749008
"beef","Africa_West_Coast","AfrCstW","Africa_Western",0.119759546564708
"dairy","Africa_West_Coast","AfrCstW","Africa_Western",0.119759546564708
"pork","Africa_West_Coast","AfrCstW","Africa_Western",0.210312410995729
"poultry","Africa_West_Coast","AfrCstW","Africa_Western",0.327131280648638
"sheepgoat","Africa_West_Coast","AfrCstW","Africa_Western",0.1178427524262
"beef","Congo","CongoR","Africa_Western",0.0630642065900493
"dairy","Congo","CongoR","Africa_Western",0.0630642065900493
"pork","Congo","CongoR","Africa_Western",0.0997725203427228
"poultry","Congo","CongoR","Africa_Western",0.0610480773924574
"sheepgoat","Congo","CongoR","Africa_Western",0.054242291885999
"beef","Gulf_of_Guinea","GuineaGulf","Africa_Western",0.0286916918298159
"dairy","Gulf_of_Guinea","GuineaGulf","Africa_Western",0.0286916918298159
"pork","Gulf_of_Guinea","GuineaGulf","Africa_Western",0.105787731089874
"poultry","Gulf_of_Guinea","GuineaGulf","Africa_Western",0.0933024762991985
"sheepgoat","Gulf_of_Guinea","GuineaGulf","Africa_Western",0.0493859754521564
"beef","Lake_Chad","LChad","Africa_Western",0.177207850146668
"dairy","Lake_Chad","LChad","Africa_Western",0.177207850146668
"pork","Lake_Chad","LChad","Africa_Western",0.0282303184876596
"poultry","Lake_Chad","LChad","Africa_Western",0.0596917654517462
"sheepgoat","Lake_Chad","LChad","Africa_Western",0.16077027270697
"beef","Niger","NigerR","Africa_Western",0.446879442144435
"dairy","Niger","NigerR","Africa_Western",0.446879442144435
"pork","Niger","NigerR","Africa_Western",0.405817272945495
"poultry","Niger","NigerR","Africa_Western",0.334615697003168
"sheepgoat","Niger","NigerR","Africa_Western",0.391842674550263
"beef","Nile","NileR","Africa_Western",0.000531696060955084
"dairy","Nile","NileR","Africa_Western",0.000531696060955084
"pork","Nile","NileR","Africa_Western",0.000925378915596588
"poultry","Nile","NileR","Africa_Western",0.000495780387052282
"sheepgoat","Nile","NileR","Africa_Western",0.000597539361832426
"beef","Senegal","SenegalR","Africa_Western",0.0747712520510386
"dairy","Senegal","SenegalR","Africa_Western",0.0747712520510385
"pork","Senegal","SenegalR","Africa_Western",0.0185086771199545
"poultry","Senegal","SenegalR","Africa_Western",0.0310677324157571
"sheepgoat","Senegal","SenegalR","Africa_Western",0.0975145996622455
"beef","Volta","VoltaR","Africa_Western",0.0873207202029496
"dairy","Volta","VoltaR","Africa_Western",0.0873207202029496
"pork","Volta","VoltaR","Africa_Western",0.0986657299564316
"poultry","Volta","VoltaR","Africa_Western",0.0858304696636819
"sheepgoat","Volta","VoltaR","Africa_Western",0.110139722680327
"beef","Central_Patagonia_Highlands","Patagonia","Argentina",0.015924336627346
"dairy","Central_Patagonia_Highlands","Patagonia","Argentina",0.015924336627346
"pork","Central_Patagonia_Highlands","Patagonia","Argentina",9.91309486525297e-07
"poultry","Central_Patagonia_Highlands","Patagonia","Argentina",0.00690516200800217
"sheepgoat","Central_Patagonia_Highlands","Patagonia","Argentina",0.0590843079587861
"beef","La_Plata","RioLaPlata","Argentina",0.391080384877085
"dairy","La_Plata","RioLaPlata","Argentina",0.391080384877085
"pork","La_Plata","RioLaPlata","Argentina",0.521850560161205
"poultry","La_Plata","RioLaPlata","Argentina",0.516920894137917
"sheepgoat","La_Plata","RioLaPlata","Argentina",0.308948943629882
"beef","La_Puna_Region","LaPuna","Argentina",0.000713566307746242
"dairy","La_Puna_Region","LaPuna","Argentina",0.000713566307746242
"pork","La_Puna_Region","LaPuna","Argentina",0.00127044582894785
"poultry","La_Puna_Region","LaPuna","Argentina",0.0013928065431651
"sheepgoat","La_Puna_Region","LaPuna","Argentina",0.00581664680021379
"beef","Mar_Chiquita","MarChiq","Argentina",0.0200582480558348
"dairy","Mar_Chiquita","MarChiq","Argentina",0.0200582480558349
"pork","Mar_Chiquita","MarChiq","Argentina",0.10937973622334
"poultry","Mar_Chiquita","MarChiq","Argentina",0.0418907947496007
"sheepgoat","Mar_Chiquita","MarChiq","Argentina",0.0234599157840046
"beef","Negro","NegroR","Argentina",0.0173134957980639
"dairy","Negro","NegroR","Argentina",0.0173134957980639
"pork","Negro","NegroR","Argentina",0.0162085898362811
"poultry","Negro","NegroR","Argentina",0.0250835330237683
"sheepgoat","Negro","NegroR","Argentina",0.135671745418505
"beef","North_Argentina_South_Atlantic_Coast","ArgCstN","Argentina",0.298583472210791
"dairy","North_Argentina_South_Atlantic_Coast","ArgCstN","Argentina",0.298583472210791
"pork","North_Argentina_South_Atlantic_Coast","ArgCstN","Argentina",0.198541753753894
"poultry","North_Argentina_South_Atlantic_Coast","ArgCstN","Argentina",0.12796451376733
"sheepgoat","North_Argentina_South_Atlantic_Coast","ArgCstN","Argentina",0.0861685001940574
"beef","Pampas_Region","Pampas","Argentina",0.127039976491749
"dairy","Pampas_Region","Pampas","Argentina",0.127039976491749
"pork","Pampas_Region","Pampas","Argentina",0.108559554262707
"poultry","Pampas_Region","Pampas","Argentina",0.110785676993351
"sheepgoat","Pampas_Region","Pampas","Argentina",0.0295378406399952
"beef","Salinas_Grandes","Salinas","Argentina",0.0174115041819681
"dairy","Salinas_Grandes","Salinas","Argentina",0.0174115041819681
"pork","Salinas_Grandes","Salinas","Argentina",0.0226590241503359
"poultry","Salinas_Grandes","Salinas","Argentina",0.0330226449813203
"sheepgoat","Salinas_Grandes","Salinas","Argentina",0.0275924264574516
"beef","South_America_Colorado","ArgColoR","Argentina",0.0456790844868833
"dairy","South_America_Colorado","ArgColoR","Argentina",0.0456790844868833
"pork","South_America_Colorado","ArgColoR","Argentina",0.0171740395665284
"poultry","South_America_Colorado","ArgColoR","Argentina",0.0403731202123835
"sheepgoat","South_America_Colorado","ArgColoR","Argentina",0.0394048533417329
"beef","South_Argentina_South_Atlantic_Coast","ArgCstS","Argentina",0.06416928936623
"dairy","South_Argentina_South_Atlantic_Coast","ArgCstS","Argentina",0.06416928936623
"pork","South_Argentina_South_Atlantic_Coast","ArgCstS","Argentina",0.0006240754162945
"poultry","South_Argentina_South_Atlantic_Coast","ArgCstS","Argentina",0.0924140179665892
"sheepgoat","South_Argentina_South_Atlantic_Coast","ArgCstS","Argentina",0.282392809030544
"beef","South_Chile_Pacific_Coast","ChileCstS","Argentina",0.00202664159630239
"dairy","South_Chile_Pacific_Coast","ChileCstS","Argentina",0.00202664159630239
"pork","South_Chile_Pacific_Coast","ChileCstS","Argentina",0.00373122949097886
"poultry","South_Chile_Pacific_Coast","ChileCstS","Argentina",0.00324683561657223
"sheepgoat","South_Chile_Pacific_Coast","ChileCstS","Argentina",0.00192201074482703
"beef","Australia_East_Coast","AusCstE","Australia_NZ",0.310489620183782
"dairy","Australia_East_Coast","AusCstE","Australia_NZ",0.310489620183782
"pork","Australia_East_Coast","AusCstE","Australia_NZ",0.293477901101033
"poultry","Australia_East_Coast","AusCstE","Australia_NZ",0.369774700974587
"sheepgoat","Australia_East_Coast","AusCstE","Australia_NZ",0.137312033840373
"beef","Australia_Interior","AusInt","Australia_NZ",0.0809527239328831
"dairy","Australia_Interior","AusInt","Australia_NZ",0.080952723932883
"pork","Australia_Interior","AusInt","Australia_NZ",0.00594340787225894
"poultry","Australia_Interior","AusInt","Australia_NZ",0.00311851809038711
"sheepgoat","Australia_Interior","AusInt","Australia_NZ",0.0917580104408842
"beef","Australia_North_Coast","AusCstN","Australia_NZ",0.0825147485400926
"dairy","Australia_North_Coast","AusCstN","Australia_NZ",0.0825147485400925
"pork","Australia_North_Coast","AusCstN","Australia_NZ",0.0111725015182461
"poultry","Australia_North_Coast","AusCstN","Australia_NZ",0.00761600864952038
"sheepgoat","Australia_North_Coast","AusCstN","Australia_NZ",0.00699514741031069
"beef","Australia_South_Coast","AusCstS","Australia_NZ",0.0200931032562923
"dairy","Australia_South_Coast","AusCstS","Australia_NZ",0.0200931032562923
"pork","Australia_South_Coast","AusCstS","Australia_NZ",0.0944918371674029
"poultry","Australia_South_Coast","AusCstS","Australia_NZ",0.128555354600927
"sheepgoat","Australia_South_Coast","AusCstS","Australia_NZ",0.0513785486362276
"beef","Australia_West_Coast","AusCstW","Australia_NZ",0.029197951168422
"dairy","Australia_West_Coast","AusCstW","Australia_NZ",0.029197951168422
"pork","Australia_West_Coast","AusCstW","Australia_NZ",0.0807861374241051
"poultry","Australia_West_Coast","AusCstW","Australia_NZ",0.0874154522610052
"sheepgoat","Australia_West_Coast","AusCstW","Australia_NZ",0.0978183818510714
"beef","Murray_Darling","MurrayDrlg","Australia_NZ",0.225415123106229
"dairy","Murray_Darling","MurrayDrlg","Australia_NZ",0.225415123106229
"pork","Murray_Darling","MurrayDrlg","Australia_NZ",0.386135500626558
"poultry","Murray_Darling","MurrayDrlg","Australia_NZ",0.1850752613543
"sheepgoat","Murray_Darling","MurrayDrlg","Australia_NZ",0.305453912791598
"beef","New_Zealand","NewZealand","Australia_NZ",0.23870870387692
"dairy","New_Zealand","NewZealand","Australia_NZ",0.23870870387692
"pork","New_Zealand","NewZealand","Australia_NZ",0.118662611414783
"poultry","New_Zealand","NewZealand","Australia_NZ",0.210423485963686
"sheepgoat","New_Zealand","NewZealand","Australia_NZ",0.282352418372335
"beef","Tasmania","Tasmania","Australia_NZ",0.0126280259353793
"dairy","Tasmania","Tasmania","Australia_NZ",0.0126280259353793
"pork","Tasmania","Tasmania","Australia_NZ",0.00933010287561276
"poultry","Tasmania","Tasmania","Australia_NZ",0.00802121810558666
"sheepgoat","Tasmania","Tasmania","Australia_NZ",0.0269315466572003
"beef","Amazon","AmazonR","Brazil",0.0996020976482455
"dairy","Amazon","AmazonR","Brazil",0.0996020976482455
"pork","Amazon","AmazonR","Brazil",0.202581409706089
"poultry","Amazon","AmazonR","Brazil",0.204584367560133
"sheepgoat","Amazon","AmazonR","Brazil",0.455714634245212
"beef","East_Brazil_South_Atlantic_Coast","BrzCstE","Brazil",0.0293244367864774
"dairy","East_Brazil_South_Atlantic_Coast","BrzCstE","Brazil",0.0293244367864774
"pork","East_Brazil_South_Atlantic_Coast","BrzCstE","Brazil",0.0353384016312499
"poultry","East_Brazil_South_Atlantic_Coast","BrzCstE","Brazil",0.0628291775527268
"sheepgoat","East_Brazil_South_Atlantic_Coast","BrzCstE","Brazil",0.0864165649453791
"beef","La_Plata","RioLaPlata","Brazil",0.473103599533832
"dairy","La_Plata","RioLaPlata","Brazil",0.473103599533832
"pork","La_Plata","RioLaPlata","Brazil",0.395936852299532
"poultry","La_Plata","RioLaPlata","Brazil",0.417064580564361
"sheepgoat","La_Plata","RioLaPlata","Brazil",0.128967577215317
"beef","North_Brazil_South_Atlantic_Coast","BrzCstN","Brazil",0.0187368699088575
"dairy","North_Brazil_South_Atlantic_Coast","BrzCstN","Brazil",0.0187368699088575
"pork","North_Brazil_South_Atlantic_Coast","BrzCstN","Brazil",0.0423819491394999
"poultry","North_Brazil_South_Atlantic_Coast","BrzCstN","Brazil",0.0131178016827365
"sheepgoat","North_Brazil_South_Atlantic_Coast","BrzCstN","Brazil",0.00782140436391934
"beef","Northeast_South_America_South_Atlantic_Coast","SAmerCstNE","Brazil",0.00014134669623915
"dairy","Northeast_South_America_South_Atlantic_Coast","SAmerCstNE","Brazil",0.00014134669623915
"pork","Northeast_South_America_South_Atlantic_Coast","SAmerCstNE","Brazil",0.000141045615323951
"poultry","Northeast_South_America_South_Atlantic_Coast","SAmerCstNE","Brazil",0.00136614863536275
"sheepgoat","Northeast_South_America_South_Atlantic_Coast","SAmerCstNE","Brazil",0.000351921213632126
"beef","Orinoco","OrinocoR","Brazil",0.0202293561929633
"dairy","Orinoco","OrinocoR","Brazil",0.0202293561929633
"pork","Orinoco","OrinocoR","Brazil",0.0243115004860153
"poultry","Orinoco","OrinocoR","Brazil",0.0197171313993243
"sheepgoat","Orinoco","OrinocoR","Brazil",0.0118028138992398
"beef","Parnaiba","ParnaibaR","Brazil",0.0160445698540597
"dairy","Parnaiba","ParnaibaR","Brazil",0.0160445698540597
"pork","Parnaiba","ParnaibaR","Brazil",0.0482052817245799
"poultry","Parnaiba","ParnaibaR","Brazil",0.0177523420377562
"sheepgoat","Parnaiba","ParnaibaR","Brazil",0.080036009242436
"beef","Sao_Francisco","SaoFrancR","Brazil",0.0663818741639709
"dairy","Sao_Francisco","SaoFrancR","Brazil",0.0663818741639709
"pork","Sao_Francisco","SaoFrancR","Brazil",0.0487107765422937
"poultry","Sao_Francisco","SaoFrancR","Brazil",0.0461417905239579
"sheepgoat","Sao_Francisco","SaoFrancR","Brazil",0.131516150687971
"beef","Tocantins","TocantinsR","Brazil",0.140546552338865
"dairy","Tocantins","TocantinsR","Brazil",0.140546552338865
"pork","Tocantins","TocantinsR","Brazil",0.0396842958696659
"poultry","Tocantins","TocantinsR","Brazil",0.0269787027460808
"sheepgoat","Tocantins","TocantinsR","Brazil",0.0061329082466981
"beef","Uruguay_Brazil_South_Atlantic_Coast","BrzCstS","Brazil",0.13588929687649
"dairy","Uruguay_Brazil_South_Atlantic_Coast","BrzCstS","Brazil",0.13588929687649
"pork","Uruguay_Brazil_South_Atlantic_Coast","BrzCstS","Brazil",0.16270848698575
"poultry","Uruguay_Brazil_South_Atlantic_Coast","BrzCstS","Brazil",0.19044795729756
"sheepgoat","Uruguay_Brazil_South_Atlantic_Coast","BrzCstS","Brazil",0.0912400159401966
"beef","Atlantic_Ocean_Seaboard","CanAtl","Canada",0.0225918619007078
"dairy","Atlantic_Ocean_Seaboard","CanAtl","Canada",0.0225918619007078
"pork","Atlantic_Ocean_Seaboard","CanAtl","Canada",0.0454901314510095
"poultry","Atlantic_Ocean_Seaboard","CanAtl","Canada",0.0615434399029862
"sheepgoat","Atlantic_Ocean_Seaboard","CanAtl","Canada",0.0499893825979745
"beef","Churchill","ChurchillR","Canada",0.00166649516563893
"dairy","Churchill","ChurchillR","Canada",0.00166649516563893
"pork","Churchill","ChurchillR","Canada",0.00352615314523433
"poultry","Churchill","ChurchillR","Canada",0.00130495597576454
