Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,34018.8847,38148.9465,41270.1063,43907.5503,30788.2256,21076.1268,12666.2737,5447.7891,-543.6871,-413.2438,-3728.9053,-5258.9563,-6501.4728,-7657.0574,-8285.7706,-8418.9858,-9072.2251,-9964.3564,-8276.8093,-8611.3823
AIM/CGE 2.0,SSP1-19,World,Emissions|CO2,Mt CO2/yr,34373.9345,35782.6485,,37233.8898,,19057.4933,,8229.32,,1794.6177,,-2181.1692,,-3757.0794,,-4338.2188,,-4390.4928,,-4474.8741
AIM/CGE 2.0,SSP2-19,World,Emissions|CO2,Mt CO2/yr,34373.9345,38205.4102,,43338.0757,,20138.5523,,8223.192,,399.2375,,-4896.1064,,-7038.6183,,-7989.1827,,-8407.2675,,-8986.8596
AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,32974.8985,33910.33,36077.2607,38682.7636,29352.4509,21604.8704,13371.3932,6795.0827,-279.4315,-4957.6403,-6502.5316,-7023.2802,-7010.6706,-7004.2178,-6977.658,-6913.2913,-6879.239,-6773.2306,-6846.3809,-6818.7646
AIM/CGE 2.1,EMF33_WB2C_cost100,World,Emissions|CO2,Mt CO2/yr,32974.8985,37824.4259,40688.8685,43736.3442,32690.4514,25635.644,14850.9901,14951.0417,9870.6822,8028.0765,2881.9281,-97.5015,-2751.0195,-3308.3976,-1656.3051,-1987.684,-1279.9679,-1001.174,-656.325,-347.1958
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,World,Emissions|CO2,Mt CO2/yr,32974.8985,33899.2827,36228.6641,38995.4282,30261.0102,19725.4363,8663.6334,6200.6457,3907.3671,1749.3975,-916.7166,-2602.216,-3774.3033,-4687.898,-5346.2951,-6078.7119,-6939.1161,-7828.8792,-8814.3516,-9040.7774
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,World,Emissions|CO2,Mt CO2/yr,32974.8985,34477.4844,37205.9956,40326.8225,31407.6251,20727.2468,9349.7229,6751.9642,4416.3612,2357.0416,-11.2104,-1600.5369,-2707.7592,-3528.267,-4290.794,-5058.9595,-5987.2329,-6944.3885,-7971.3917,-8122.0548
C-ROADS-5.005,Ratchet-1.5-allCDR,World,Emissions|CO2,Mt CO2/yr,33397.2,36978.6,39863.9,39376.5,37004.8,33233.9,24219.2,16601.2,9874.71,4072.32,-1068,-5159.11,-8251.76,-10391.7,-11807,-12730.6,-13426.5,-13834.8,-13939.1,-13854.9
C-ROADS-5.005,Ratchet-1.5-limCDR,World,Emissions|CO2,Mt CO2/yr,33397.2,36978.6,39863.9,39176,38289.5,28288,19578,12163,5941.27,930.131,-2905.83,-5430.25,-7004.67,-7874.18,-8091.69,-7885.6,-7451.89,-6857.95,-6123.82,-5263.53
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,World,Emissions|CO2,Mt CO2/yr,33397.2,36978.6,39863.9,39059,30369.4,13439,1990.06,-4832.83,-8666.59,-10558.9,-10925.6,-10555.5,-9927.43,-9135.24,-8237.1,-7287.48,-6324.64,-5377.61,-4468.19,-3612.11
