scenario,subRegion,region,param,class,x,value,units
scenario,Baja_California_X_Mexico,region,param,class,2015,14289.36288,units
scenario,Baja_California_X_Mexico,region,param,class,2050,37155.96773,units
scenario,Mexico_Northwest_Coast_X_Mexico,region,param,class,2015,12585.04382,units
scenario,Mexico_Northwest_Coast_X_Mexico,region,param,class,2050,30944.00816,units
scenario,Caribbean_X_Central America and Caribbean,region,param,class,2015,8267.912426,units
scenario,Caribbean_X_Central America and Caribbean,region,param,class,2050,24615.75336,units
scenario,North_Gulf_X_Mexico,region,param,class,2015,12289.3357,units
scenario,North_Gulf_X_Mexico,region,param,class,2050,28906.68692,units
scenario,Yucatan_Peninsula_X_Central America and Caribbean,region,param,class,2015,6261.626926,units
scenario,Yucatan_Peninsula_X_Central America and Caribbean,region,param,class,2050,23229.23456,units
scenario,Yucatan_Peninsula_X_Mexico,region,param,class,2015,14072.4815,units
scenario,Yucatan_Peninsula_X_Mexico,region,param,class,2050,31247.43542,units
scenario,Mexico_Interior_X_Mexico,region,param,class,2015,14342.73629,units
scenario,Mexico_Interior_X_Mexico,region,param,class,2050,35966.33708,units
scenario,Pacific_Central_Coast_X_Mexico,region,param,class,2015,11853.1872,units
scenario,Pacific_Central_Coast_X_Mexico,region,param,class,2050,27788.87995,units
scenario,Papaloapan_X_Mexico,region,param,class,2015,16506.03735,units
scenario,Papaloapan_X_Mexico,region,param,class,2050,36455.98247,units
scenario,Rio_Lerma_X_Mexico,region,param,class,2015,20742.83051,units
scenario,Rio_Lerma_X_Mexico,region,param,class,2050,49820.35224,units
scenario,Rio_Verde_X_Mexico,region,param,class,2015,19865.46856,units
scenario,Rio_Verde_X_Mexico,region,param,class,2050,45715.88575,units
scenario,Grijalva_Usumacinta_X_Central America and Caribbean,region,param,class,2015,3500.9968,units
scenario,Grijalva_Usumacinta_X_Central America and Caribbean,region,param,class,2050,10626.14946,units
scenario,Grijalva_Usumacinta_X_Mexico,region,param,class,2015,12112.15297,units
scenario,Grijalva_Usumacinta_X_Mexico,region,param,class,2050,28288.40288,units
scenario,Rio_Balsas_X_Mexico,region,param,class,2015,19466.88599,units
scenario,Rio_Balsas_X_Mexico,region,param,class,2050,45474.5679,units
scenario,Southern_Central_America_X_Central America and Caribbean,region,param,class,2015,8000.329252,units
scenario,Southern_Central_America_X_Central America and Caribbean,region,param,class,2050,26323.93434,units
scenario,Southern_Central_America_X_Mexico,region,param,class,2015,16939.93847,units
scenario,Southern_Central_America_X_Mexico,region,param,class,2050,41142.43718,units
scenario,Isthmus_of_Tehuantepec_X_Mexico,region,param,class,2015,12513.44457,units
scenario,Isthmus_of_Tehuantepec_X_Mexico,region,param,class,2050,28258.90801,units
scenario,Caribbean_Coast_X_Central America and Caribbean,region,param,class,2015,29830.9126,units
scenario,Caribbean_Coast_X_Central America and Caribbean,region,param,class,2050,61737.39897,units
scenario,Caribbean_Coast_X_South America_Northern,region,param,class,2015,14873.49487,units
scenario,Caribbean_Coast_X_South America_Northern,region,param,class,2050,31139.66544,units
scenario,Caribbean_Coast_X_Colombia,region,param,class,2015,9959.312619,units
scenario,Caribbean_Coast_X_Colombia,region,param,class,2050,28734.26605,units
scenario,Orinoco_X_South America_Northern,region,param,class,2015,14179.33717,units
scenario,Orinoco_X_South America_Northern,region,param,class,2050,30341.09255,units
scenario,Orinoco_X_Colombia,region,param,class,2015,8977.98169,units
scenario,Orinoco_X_Colombia,region,param,class,2050,26780.3975,units
