scenario,subRegion,region,param,class,x,value,units
ARM_Policy_10pa_2025.2050,Amazon,region,param,class,x,0.002261996236,units
ARM_Policy_10pa_2025.2050,South_America_Colorado,region,param,class,x,0.1667233701,units
ARM_Policy_10pa_2025.2050,North_Argentina_South_Atlantic_Coast,region,param,class,x,0.03023237187,units
ARM_Policy_10pa_2025.2050,South_Argentina_South_Atlantic_Coast,region,param,class,x,0.00329481086,units
ARM_Policy_10pa_2025.2050,East_Brazil_South_Atlantic_Coast,region,param,class,x,0.06127438377,units
ARM_Policy_10pa_2025.2050,North_Brazil_South_Atlantic_Coast,region,param,class,x,0.0008385818245,units
ARM_Policy_10pa_2025.2050,Uruguay_Brazil_South_Atlantic_Coast,region,param,class,x,0.03920177136,units
ARM_Policy_10pa_2025.2050,California_River,region,param,class,x,0.004208294868,units
ARM_Policy_10pa_2025.2050,Caribbean,region,param,class,x,0.0472146794,units
ARM_Policy_10pa_2025.2050,North_Chile_Pacific_Coast,region,param,class,x,0.1044328098,units
ARM_Policy_10pa_2025.2050,South_Chile_Pacific_Coast,region,param,class,x,0.01442363572,units
ARM_Policy_10pa_2025.2050,Southern_Central_America,region,param,class,x,0.009188878139,units
ARM_Policy_10pa_2025.2050,Colombia_Ecuador_Pacific_Coast,region,param,class,x,0.02388567272,units
ARM_Policy_10pa_2025.2050,Grijalva_Usumacinta,region,param,class,x,0.008825167466,units
ARM_Policy_10pa_2025.2050,La_Puna_Region,region,param,class,x,0.03397372695,units
ARM_Policy_10pa_2025.2050,Magdalena,region,param,class,x,0.02201114178,units
ARM_Policy_10pa_2025.2050,Mar_Chiquita,region,param,class,x,0.09507152413,units
ARM_Policy_10pa_2025.2050,Baja_California,region,param,class,x,0.1278324038,units
ARM_Policy_10pa_2025.2050,Mexico_Northwest_Coast,region,param,class,x,0.1874913119,units
ARM_Policy_10pa_2025.2050,Pacific_Central_Coast,region,param,class,x,0.1307733975,units
ARM_Policy_10pa_2025.2050,North_Gulf,region,param,class,x,0.2334507083,units
ARM_Policy_10pa_2025.2050,Mexico_Interior,region,param,class,x,0.2422529875,units
ARM_Policy_10pa_2025.2050,Negro,region,param,class,x,0.03501584671,units
ARM_Policy_10pa_2025.2050,Orinoco,region,param,class,x,0.003349013126,units
ARM_Policy_10pa_2025.2050,Pampas_Region,region,param,class,x,0.01195785187,units
ARM_Policy_10pa_2025.2050,Papaloapan,region,param,class,x,0.03013700957,units
ARM_Policy_10pa_2025.2050,Parnaiba,region,param,class,x,0.005010909455,units
ARM_Policy_10pa_2025.2050,Central_Patagonia_Highlands,region,param,class,x,0.001880716438,units
ARM_Policy_10pa_2025.2050,Peru_Pacific_Coast,region,param,class,x,0.293289674,units
ARM_Policy_10pa_2025.2050,Rio_Balsas,region,param,class,x,0.09496020067,units
ARM_Policy_10pa_2025.2050,Rio_Grande_River,region,param,class,x,0.2871284965,units
ARM_Policy_10pa_2025.2050,La_Plata,region,param,class,x,0.02891081996,units
ARM_Policy_10pa_2025.2050,Rio_Lerma,region,param,class,x,0.3412710428,units
ARM_Policy_10pa_2025.2050,Rio_Verde,region,param,class,x,0.1994795314,units
ARM_Policy_10pa_2025.2050,Salinas_Grandes,region,param,class,x,0.05401582589,units
ARM_Policy_10pa_2025.2050,Caribbean_Coast,region,param,class,x,0.01179797952,units
ARM_Policy_10pa_2025.2050,Northeast_South_America_South_Atlantic_Coast,region,param,class,x,0.0008795545888,units
ARM_Policy_10pa_2025.2050,Sao_Francisco,region,param,class,x,0.02101704156,units
ARM_Policy_10pa_2025.2050,Isthmus_of_Tehuantepec,region,param,class,x,0.01826339615,units
ARM_Policy_10pa_2025.2050,Tocantins,region,param,class,x,0.002674839633,units
ARM_Policy_10pa_2025.2050,Lower_Colorado_River,region,param,class,x,0.2388776095,units
ARM_Policy_10pa_2025.2050,Yucatan_Peninsula,region,param,class,x,0.008883704827,units
ARM_Reference.2015,Amazon,region,param,class,x,0.001433705841,units
ARM_Reference.2050,Amazon,region,param,class,x,0.002310930171,units
ARM_Reference.2015,South_America_Colorado,region,param,class,x,0.05592535676,units
ARM_Reference.2050,South_America_Colorado,region,param,class,x,0.09473254848,units
ARM_Reference.2015,North_Argentina_South_Atlantic_Coast,region,param,class,x,0.02150410952,units
ARM_Reference.2050,North_Argentina_South_Atlantic_Coast,region,param,class,x,0.03253362229,units
ARM_Reference.2015,South_Argentina_South_Atlantic_Coast,region,param,class,x,0.001054272814,units
ARM_Reference.2050,South_Argentina_South_Atlantic_Coast,region,param,class,x,0.002209325026,units
ARM_Reference.2015,East_Brazil_South_Atlantic_Coast,region,param,class,x,0.03800911271,units
ARM_Reference.2050,East_Brazil_South_Atlantic_Coast,region,param,class,x,0.07535829822,units
ARM_Reference.2015,North_Brazil_South_Atlantic_Coast,region,param,class,x,0.0009431168956,units
ARM_Reference.2050,North_Brazil_South_Atlantic_Coast,region,param,class,x,0.001344616223,units
ARM_Reference.2015,Uruguay_Brazil_South_Atlantic_Coast,region,param,class,x,0.02737782061,units
ARM_Reference.2050,Uruguay_Brazil_South_Atlantic_Coast,region,param,class,x,0.03711085455,units
ARM_Reference.2015,California_River,region,param,class,x,0.002030319038,units
ARM_Reference.2050,California_River,region,param,class,x,0.003240607093,units
ARM_Reference.2015,Caribbean,region,param,class,x,0.03306678383,units
ARM_Reference.2050,Caribbean,region,param,class,x,0.04691801001,units
ARM_Reference.2015,North_Chile_Pacific_Coast,region,param,class,x,0.07462305237,units
ARM_Reference.2050,North_Chile_Pacific_Coast,region,param,class,x,0.08118771092,units
ARM_Reference.2015,South_Chile_Pacific_Coast,region,param,class,x,0.008820627513,units
ARM_Reference.2050,South_Chile_Pacific_Coast,region,param,class,x,0.01133371626,units
ARM_Reference.2015,Southern_Central_America,region,param,class,x,0.006208730951,units
ARM_Reference.2050,Southern_Central_America,region,param,class,x,0.009140889248,units
ARM_Reference.2015,Colombia_Ecuador_Pacific_Coast,region,param,class,x,0.01334832469,units
ARM_Reference.2050,Colombia_Ecuador_Pacific_Coast,region,param,class,x,0.0234863354,units
ARM_Reference.2015,Grijalva_Usumacinta,region,param,class,x,0.006165143044,units
ARM_Reference.2050,Grijalva_Usumacinta,region,param,class,x,0.009555763319,units
ARM_Reference.2015,La_Puna_Region,region,param,class,x,0.02465977424,units
ARM_Reference.2050,La_Puna_Region,region,param,class,x,0.03172569822,units
ARM_Reference.2015,Magdalena,region,param,class,x,0.01295966699,units
ARM_Reference.2050,Magdalena,region,param,class,x,0.02113415811,units
ARM_Reference.2015,Mar_Chiquita,region,param,class,x,0.06178057397,units
ARM_Reference.2050,Mar_Chiquita,region,param,class,x,0.08587941965,units
ARM_Reference.2015,Baja_California,region,param,class,x,0.04752224061,units
ARM_Reference.2050,Baja_California,region,param,class,x,0.05867294184,units
ARM_Reference.2015,Mexico_Northwest_Coast,region,param,class,x,0.1077748128,units
ARM_Reference.2050,Mexico_Northwest_Coast,region,param,class,x,0.1504727192,units
ARM_Reference.2015,Pacific_Central_Coast,region,param,class,x,0.08768846582,units
ARM_Reference.2050,Pacific_Central_Coast,region,param,class,x,0.1466368588,units
ARM_Reference.2015,North_Gulf,region,param,class,x,0.1607062036,units
ARM_Reference.2050,North_Gulf,region,param,class,x,0.2456297718,units
ARM_Reference.2015,Mexico_Interior,region,param,class,x,0.1711002149,units
ARM_Reference.2050,Mexico_Interior,region,param,class,x,0.2249812926,units
ARM_Reference.2015,Negro,region,param,class,x,0.01362624951,units
ARM_Reference.2050,Negro,region,param,class,x,0.02418262961,units
ARM_Reference.2015,Orinoco,region,param,class,x,0.002650487222,units
ARM_Reference.2050,Orinoco,region,param,class,x,0.003780239732,units
ARM_Reference.2015,Pampas_Region,region,param,class,x,0.008805081715,units
ARM_Reference.2050,Pampas_Region,region,param,class,x,0.0136860661,units
ARM_Reference.2015,Papaloapan,region,param,class,x,0.01765157574,units
ARM_Reference.2050,Papaloapan,region,param,class,x,0.02994797023,units
ARM_Reference.2015,Parnaiba,region,param,class,x,0.003939072162,units
