scenario,subRegion,region,param,class,x,value,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Amazon_X_Brazil,region,param,class,x,-27.7980804440248,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Amazon_X_Colombia,region,param,class,x,-28.4384314923122,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Amazon_X_South America_Northern,region,param,class,x,-14.7290245175633,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Amazon_X_South America_Southern,region,param,class,x,-2.86176486672994,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Baja_California_X_Mexico,region,param,class,x,-0.777815261441431,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,California_River_X_Mexico,region,param,class,x,-1.3344388531172,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Caribbean_Coast_X_Central America and Caribbean,region,param,class,x,4.99874034151657,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Caribbean_Coast_X_Colombia,region,param,class,x,-2.7341329383298,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Caribbean_Coast_X_South America_Northern,region,param,class,x,-0.843984117523343,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Caribbean_X_Central America and Caribbean,region,param,class,x,-1.73460186683082,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Central_Patagonia_Highlands_X_Argentina,region,param,class,x,1.419632078525,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Colombia_Ecuador_Pacific_Coast_X_Central America and Caribbean,region,param,class,x,-0.0745504559187778,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Colombia_Ecuador_Pacific_Coast_X_Colombia,region,param,class,x,-0.757576861787772,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Colombia_Ecuador_Pacific_Coast_X_South America_Southern,region,param,class,x,-0.965023578126127,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,East_Brazil_South_Atlantic_Coast_X_Brazil,region,param,class,x,0.141695999642023,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Grijalva_Usumacinta_X_Central America and Caribbean,region,param,class,x,-1.2190365499793,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Grijalva_Usumacinta_X_Mexico,region,param,class,x,-0.703242487095913,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,Isthmus_of_Tehuantepec_X_Mexico,region,param,class,x,1.90990807478024,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,La_Plata_X_Argentina,region,param,class,x,-2.12753175300858,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,La_Plata_X_Brazil,region,param,class,x,-0.844447963036556,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,La_Plata_X_South America_Southern,region,param,class,x,-0.706152995073371,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,La_Plata_X_Uruguay,region,param,class,x,-0.349964049241609,units
ARM_Policy_10pa_2025_DiffPrcnt_ARM_Reference,La_Puna_Region_X_Argentina,region,param,class,x,-17.011998877213,units
